algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,seed_tag
weighted_astar,1,9.82842712474619,3.0,0.0430999789386987,10,random_generated,20,0.3,27,27,seed42
jps_like,1,9.82842712474619,3.0,0.1742999884299934,17,random_generated,20,0.3,27,27,seed42
improved_astar,1,9.219544457292889,0.0,0.0627999834250658,6,random_generated,20,0.3,27,27,seed42
dijkstra,1,16.242640687119287,3.0,0.655800016829744,210,random_generated,20,0.3,28,28,seed42
astar,1,16.242640687119287,5.0,0.1941999944392591,40,random_generated,20,0.3,28,28,seed42
weighted_astar,1,16.242640687119287,5.0,0.1650000049266964,19,random_generated,20,0.3,28,28,seed42
jps_like,1,16.242640687119284,3.0,0.5446000141091645,27,random_generated,20,0.3,28,28,seed42
improved_astar,1,15.63441361516796,2.0,0.2232999831903726,12,random_generated,20,0.3,28,28,seed42
dijkstra,1,2.8284271247461903,0.0,0.066400010837242,14,random_generated,20,0.3,29,29,seed42
astar,1,2.8284271247461903,0.0,0.0172000145539641,3,random_generated,20,0.3,29,29,seed42
weighted_astar,1,2.8284271247461903,0.0,0.01479999627918,3,random_generated,20,0.3,29,29,seed42
jps_like,1,2.8284271247461903,0.0,0.0164000084623694,2,random_generated,20,0.3,29,29,seed42
improved_astar,1,2.8284271247461903,0.0,0.0159000046551227,2,random_generated,20,0.3,29,29,seed42
dijkstra,1,1.0,0.0,0.005500012775883,2,random_generated,20,0.7,0,0,seed42
astar,1,1.0,0.0,0.0041000021155923,2,random_generated,20,0.7,0,0,seed42
weighted_astar,1,1.0,0.0,0.0030999945010989,2,random_generated,20,0.7,0,0,seed42
jps_like,1,1.0,0.0,0.0047000066842883,2,random_generated,20,0.7,0,0,seed42
improved_astar,1,1.0,0.0,0.0045000051613897,2,random_generated,20,0.7,0,0,seed42
dijkstra,1,29.213203435596437,13.0,0.2386000123806297,94,random_generated,20,0.7,1,1,seed42
astar,1,29.213203435596437,13.0,0.2570000069681555,89,random_generated,20,0.7,1,1,seed42
weighted_astar,1,29.213203435596437,13.0,0.2427000144962221,89,random_generated,20,0.7,1,1,seed42
jps_like,0,,,0.0475999841000884,11,random_generated,20,0.7,1,1,seed42
improved_astar,0,,,0.0459000002592802,11,random_generated,20,0.7,1,1,seed42
dijkstra,1,1.4142135623730951,0.0,0.0166000099852681,5,random_generated,20,0.7,2,2,seed42
astar,1,1.4142135623730951,0.0,0.0069000234361737,2,random_generated,20,0.7,2,2,seed42
weighted_astar,1,1.4142135623730951,0.0,0.0060000165831297,2,random_generated,20,0.7,2,2,seed42
jps_like,1,1.4142135623730951,0.0,0.0093999842647463,2,random_generated,20,0.7,2,2,seed42
improved_astar,1,1.4142135623730951,0.0,0.0088999804574996,2,random_generated,20,0.7,2,2,seed42
dijkstra,1,1.4142135623730951,0.0,0.017599988495931,3,random_generated,20,0.7,3,3,seed42
