algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
ablation_no_adaptive,1,6.433978400210179,2,0.04230000195093453,12,40,0.7,0,0
ablation_no_jump,1,6.433978400210179,2,0.03640000068116933,15,40,0.7,0,0
ablation_no_smoothing,1,8.65685424949238,6,0.050000002374872565,15,40,0.7,0,0
dijkstra,1,5.82842712474619,2,0.043499996536411345,17,40,0.7,1,1
astar,1,5.82842712474619,2,0.019099999917671084,6,40,0.7,1,1
weighted_astar,1,5.82842712474619,2,0.016599995433352888,6,40,0.7,1,1
jps_like,1,5.82842712474619,2,0.018399994587525725,4,40,0.7,1,1
improved_astar,1,5.650281539872885,2,0.03480000304989517,8,40,0.7,1,1
ablation_no_adaptive,1,5.650281539872885,2,0.01780000457074493,4,40,0.7,1,1
ablation_no_jump,1,5.650281539872885,2,0.02379999205004424,8,40,0.7,1,1
ablation_no_smoothing,1,5.82842712474619,2,0.03530000685714185,8,40,0.7,1,1
dijkstra,1,12.485281374238571,7,0.09700001101009548,44,40,0.7,2,2
astar,1,12.485281374238571,7,0.04769999941345304,18,40,0.7,2,2
weighted_astar,1,12.485281374238571,7,0.04490000719670206,18,40,0.7,2,2
jps_like,1,12.48528137423857,7,0.0653000024612993,17,40,0.7,2,2
improved_astar,1,11.65685424949238,6,0.07959999493323267,21,40,0.7,2,2
ablation_no_adaptive,1,11.65685424949238,6,0.0641999940853566,17,40,0.7,2,2
ablation_no_jump,1,11.65685424949238,6,0.05400000372901559,21,40,0.7,2,2
ablation_no_smoothing,1,12.48528137423857,7,0.07909999112598598,21,40,0.7,2,2
dijkstra,1,7.65685424949238,3,0.08369999704882503,30,40,0.7,3,3
astar,1,7.65685424949238,3,0.02719998883549124,8,40,0.7,3,3
weighted_astar,1,7.65685424949238,3,0.02340000355616212,8,40,0.7,3,3
jps_like,1,7.65685424949238,3,0.13940001372247934,6,40,0.7,3,3
improved_astar,1,7.3005630797457695,2,0.06289999873843044,12,40,0.7,3,3
ablation_no_adaptive,1,7.3005630797457695,2,0.031799994758330286,6,40,0.7,3,3
ablation_no_jump,1,7.3005630797457695,2,0.041700011934153736,12,40,0.7,3,3
ablation_no_smoothing,1,7.65685424949238,3,0.06130000110715628,12,40,0.7,3,3
dijkstra,1,6.242640687119285,2,0.04569999873638153,18,40,0.7,4,4
astar,1,6.242640687119285,2,0.02060001133941114,6,40,0.7,4,4
weighted_astar,1,6.242640687119285,2,0.01829999382607639,6,40,0.7,4,4
jps_like,1,6.242640687119285,2,0.020199993741698563,4,40,0.7,4,4
improved_astar,1,5.8863495173726745,1,0.035599994589574635,7,40,0.7,4,4
ablation_no_adaptive,1,5.8863495173726745,1,0.020400009816512465,4,40,0.7,4,4
ablation_no_jump,1,5.8863495173726745,1,0.02269999822601676,7,40,0.7,4,4
ablation_no_smoothing,1,6.242640687119285,2,0.034500000765547156,7,40,0.7,4,4
