algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
astar,1,18.970562748477146,3,0.09190000128000975,17,20,0.3,24,24
weighted_astar,1,18.970562748477146,3,0.07789999654050916,15,20,0.3,24,24
jps_like,1,18.97056274847714,1,0.07539999205619097,6,20,0.3,24,24
improved_astar,1,18.558873956203158,1,0.07579999510198832,6,20,0.3,24,24
dijkstra,1,16.242640687119284,5,0.4081000079168007,126,20,0.3,25,25
astar,1,16.242640687119284,5,0.09770000178832561,22,20,0.3,25,25
weighted_astar,1,16.242640687119284,5,0.08860000525601208,21,20,0.3,25,25
jps_like,1,16.242640687119284,6,0.16060000052675605,14,20,0.3,25,25
improved_astar,1,15.738768882709854,4,0.1360000023851171,13,20,0.3,25,25
dijkstra,1,13.899494936611667,6,0.8391000010306016,259,20,0.3,26,26
astar,1,13.899494936611667,6,0.15619999612681568,35,20,0.3,26,26
weighted_astar,1,13.899494936611667,4,0.12060000153724104,18,20,0.3,26,26
jps_like,1,13.899494936611664,6,0.28390000807121396,31,20,0.3,26,26
improved_astar,1,12.20079285608123,2,0.12680000509135425,13,20,0.3,26,26
dijkstra,1,9.82842712474619,2,0.324500011629425,100,20,0.3,27,27
astar,1,9.82842712474619,4,0.07860000187065452,18,20,0.3,27,27
weighted_astar,1,9.82842712474619,3,0.04619998799171299,10,20,0.3,27,27
jps_like,1,9.82842712474619,3,0.1613000058569014,18,20,0.3,27,27
improved_astar,1,9.219544457292887,0,0.051700000767596066,5,20,0.3,27,27
dijkstra,1,16.242640687119287,3,0.7344000041484833,210,20,0.3,28,28
astar,1,16.242640687119287,5,0.17579999985173345,40,20,0.3,28,28
weighted_astar,1,16.242640687119287,5,0.09279999358113855,19,20,0.3,28,28
jps_like,1,16.242640687119284,3,0.28219999512657523,30,20,0.3,28,28
improved_astar,1,15.123105625617661,2,0.12719999358523637,12,20,0.3,28,28
dijkstra,1,2.8284271247461903,0,0.06510000093840063,14,20,0.3,29,29
astar,1,2.8284271247461903,0,0.014399993233382702,3,20,0.3,29,29
weighted_astar,1,2.8284271247461903,0,0.012500007869675756,3,20,0.3,29,29
jps_like,1,2.8284271247461903,0,0.016200006939470768,2,20,0.3,29,29
improved_astar,1,2.8284271247461903,0,0.015400000847876072,2,20,0.3,29,29
dijkstra,1,1.0,0,0.006200003554113209,2,20,0.7,0,0
astar,1,1.0,0,0.0046000059228390455,2,20,0.7,0,0
weighted_astar,1,1.0,0,0.0031999952625483274,2,20,0.7,0,0
jps_like,1,1.0,0,0.004799992893822491,2,20,0.7,0,0
improved_astar,1,1.0,0,0.0048000074457377195,2,20,0.7,0,0
dijkstra,1,29.213203435596434,13,0.2606999914860353,94,20,0.7,1,1
astar,1,29.213203435596434,13,0.27069999487139285,89,20,0.7,1,1
weighted_astar,1,29.213203435596434,13,0.2643000043462962,89,20,0.7,1,1
jps_like,1,29.21320343559643,14,0.4095999902347103,89,20,0.7,1,1
improved_astar,1,23.741114189575445,11,0.42799999937415123,90,20,0.7,1,1
dijkstra,1,1.4142135623730951,0,0.025399989681318402,5,20,0.7,2,2
astar,1,1.4142135623730951,0,0.009700001101009548,2,20,0.7,2,2
weighted_astar,1,1.4142135623730951,0,0.006699992809444666,2,20,0.7,2,2
