candidate,dataset,map_name,size,ratio,alpha,success,runtime_ms,path_length,turn_count,expanded_nodes
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.030700000934302807,2.0,0,2
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.029000017093494534,3.0,0,2
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.05020000389777124,2.23606797749979,0,3
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.05140001303516328,3.1622776601683795,0,3
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.07189999450929463,3.1622776601683795,0,3
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.051300012273713946,3.1622776601683795,0,3
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.031000003218650818,2.0,0,2
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,643.0247999960557,1368.9976468476498,11,21259
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,4.065899993292987,463.96228294981046,0,133
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,396.50619999156334,1904.5363607286545,9,15435
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,14.529300009598956,728.4126577703054,0,193
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,1653.81879999768,2516.27057452948,7,52071
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,1042.2447999881115,850.8656395336792,5,40615
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,7.1570000145584345,586.7069114984074,0,161
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,13.28849999117665,1168.3646690995067,0,360
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,11.577099998248741,1149.6803903694279,0,327
log_clip_0.8_1.8,weighted,Map1.map,2048,0.033130645751953125,1.8,1,21.494400018127635,1522.4692152892974,1,684
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,13.08990002144128,1346.4267525565585,0,449
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,3.7357000110205263,463.96228294981046,0,133
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,12.31520000146702,1823.8818492435303,0,461
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,5.985200026771054,728.4126577703054,0,193
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,26.39060001820326,2459.568254795951,0,609
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,6.3011999882292,749.4864908722504,0,238
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,5.129800003487617,586.7069114984074,0,161
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,12.24400001228787,1168.3646690995067,0,360
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,7.592100009787828,1149.6803903694279,0,327
log_clip_0.8_1.8,weighted,Map10.map,2048,0.0,1.8,1,12.115499994251877,1522.4664199909303,0,385
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.06680001388303936,3.0,0,2
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.05420000525191426,2.23606797749979,0,3
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.027700007194653153,2.0,0,2
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.02680000034160912,1.4142135623730951,0,2
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.05399997462518513,3.605551275463989,0,3
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.02120001590810716,2.0,0,2
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.04839999019168317,2.23606797749979,0,3
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.04499999340623617,3.605551275463989,0,3
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.0329999893438071,3.605551275463989,0,3
log_clip_0.8_1.4,dao,arena.map,49,0.1445231153685964,1.4,1,0.032400013878941536,3.1622776601683795,0,3
