algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
weighted_astar,1,5.656854249492381,0,0.033499993151053786,5,40,0.7,22,26
jps_like,1,5.65685424949238,1,0.03099998866673559,5,40,0.7,22,26
improved_astar,1,5.656854249492381,0,0.035599994589574635,7,40,0.7,22,26
dijkstra,1,38.04163056034262,24,0.21249998826533556,84,40,0.7,23,27
astar,1,38.04163056034262,23,0.19440001051407307,68,40,0.7,23,27
weighted_astar,1,38.04163056034262,23,0.18099999579135329,64,40,0.7,23,27
jps_like,1,38.04163056034262,23,0.30339999648276716,68,40,0.7,23,27
improved_astar,1,33.77489333737099,10,0.334700001985766,74,40,0.7,23,27
dijkstra,1,10.65685424949238,4,0.11829999857582152,42,40,0.7,24,28
astar,1,10.65685424949238,4,0.04290000651963055,14,40,0.7,24,28
weighted_astar,1,10.65685424949238,4,0.03929999365936965,13,40,0.7,24,28
jps_like,1,10.65685424949238,4,0.07350000669248402,14,40,0.7,24,28
improved_astar,1,9.650281539872886,4,0.0909000082174316,18,40,0.7,24,28
dijkstra,1,11.485281374238571,5,0.0636000040685758,26,40,0.7,25,29
astar,1,11.485281374238571,5,0.0543000060133636,20,40,0.7,25,29
weighted_astar,1,11.485281374238571,5,0.047299996367655694,18,40,0.7,25,29
jps_like,1,11.485281374238571,6,0.07929999264888465,20,40,0.7,25,29
improved_astar,1,8.478708664619075,4,0.08620000153314322,22,40,0.7,25,29
dijkstra,1,4.242640687119286,1,0.024499997380189598,9,40,0.7,26,30
astar,1,4.242640687119286,2,0.015099998563528061,5,40,0.7,26,30
weighted_astar,1,4.242640687119286,2,0.011399999493733048,4,40,0.7,26,30
jps_like,1,4.242640687119286,1,0.020399995264597237,5,40,0.7,26,30
improved_astar,1,3.23606797749979,1,0.019500002963468432,5,40,0.7,26,30
dijkstra,1,4.82842712474619,3,0.05889999738428742,21,40,0.7,27,31
astar,1,4.82842712474619,3,0.022299995180219412,6,40,0.7,27,31
weighted_astar,1,4.82842712474619,3,0.01720000000204891,5,40,0.7,27,31
jps_like,1,4.82842712474619,3,0.035299992305226624,6,40,0.7,27,31
improved_astar,1,4.47213595499958,0,0.04949999856762588,9,40,0.7,27,31
dijkstra,1,32.627416997969526,16,0.17059998936019838,69,40,0.7,28,32
astar,1,32.627416997969526,14,0.12149999383836985,40,40,0.7,28,32
weighted_astar,1,32.627416997969526,14,0.11619999713730067,39,40,0.7,28,32
jps_like,1,32.627416997969526,16,0.18899999849963933,42,40,0.7,28,32
improved_astar,1,30.500621096103206,10,0.25510000705253333,58,40,0.7,28,32
dijkstra,1,15.313708498984763,7,0.09900001168716699,36,40,0.7,29,34
astar,1,15.313708498984763,7,0.07280000136233866,24,40,0.7,29,34
weighted_astar,1,15.313708498984763,7,0.061700004152953625,21,40,0.7,29,34
jps_like,1,15.313708498984761,7,0.09919999865815043,22,40,0.7,29,34
improved_astar,1,13.77269903474535,5,0.11490000179037452,26,40,0.7,29,34
dijkstra,1,72.87005768508878,21,12.014000007184222,3850,80,0.3,0,0
astar,1,72.87005768508878,23,1.6092000005301088,391,80,0.3,0,0
weighted_astar,1,73.69848480983498,25,0.39230000402312726,86,80,0.3,0,0
jps_like,1,72.87005768508878,22,3.219999998691492,386,80,0.3,0,0
improved_astar,1,68.31612261365771,15,0.5241000035312027,52,80,0.3,0,0
dijkstra,1,27.313708498984763,9,3.110500008915551,955,80,0.3,1,1
astar,1,27.313708498984763,11,0.48600000445730984,119,80,0.3,1,1
