size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
20,0.7,turn_count,weighted_astar,30,1.5,2.2666666666666666,-0.7666666666666666,33.8235294117647,0.2929414117176565,0,0.5514191279391181,0
20,0.7,runtime_ms,jps_like,30,0.04488666551575681,0.040886665616805325,0.003999999898951487,-9.783140392126763,0.7680463907218557,0,0.7928220807451413,0
20,0.7,path_length,jps_like,30,4.881506957376885,5.5826743580118405,-0.7011674006349553,12.559704465453764,0.6180763847230554,0,0.72901281812603,0
20,0.7,turn_count,jps_like,30,1.5,2.3666666666666667,-0.8666666666666667,36.61971830985916,0.22395520895820836,0,0.438769388979347,0
20,0.7,runtime_ms,dijkstra,30,0.04488666551575681,0.042139998792360196,0.0027466667233966152,-6.517956341030019,0.8804239152169566,0,0.8991563389449769,0
20,0.7,path_length,dijkstra,30,4.881506957376885,5.582674358011841,-0.7011674006349562,12.559704465453777,0.6224755048990201,0,0.72901281812603,0
20,0.7,turn_count,dijkstra,30,1.5,2.2,-0.7000000000000002,31.818181818181824,0.33733253349330133,0,0.599702281765869,0
40,0.3,runtime_ms,astar,30,0.27729333232855424,0.38755999945957836,-0.11026666713102412,28.451508743106157,0.28494301139772044,0,0.5470905818836233,0
40,0.3,path_length,astar,30,23.54097411622681,24.986907148747875,-1.445933032521065,5.786762739035201,0.6562687462507498,0,0.72901281812603,0
40,0.3,turn_count,astar,30,5.2,8.666666666666666,-3.466666666666666,39.99999999999999,0.008398320335932814,1,0.033593281343731254,1
40,0.3,runtime_ms,weighted_astar,30,0.27729333232855424,0.17544000002089885,0.10185333230765539,-58.05593496096806,0.10697860427914417,0,0.2775661083999416,0
40,0.3,path_length,weighted_astar,30,23.54097411622681,25.368768619505065,-1.8277945032782554,7.204900366637958,0.556488702259548,0,0.72901281812603,0
40,0.3,turn_count,weighted_astar,30,5.2,9.166666666666666,-3.966666666666666,43.272727272727266,0.005198960207958408,1,0.02170000782452205,1
40,0.3,runtime_ms,jps_like,30,0.27729333232855424,0.7341733338156095,-0.4568800014870552,62.2305360932385,0.010797840431913617,1,0.04146370725854829,1
40,0.3,path_length,jps_like,30,23.54097411622681,24.98690714874787,-1.4459330325210615,5.786762739035188,0.6530693861227754,0,0.72901281812603,0
40,0.3,turn_count,jps_like,30,5.2,9.333333333333334,-4.133333333333334,44.28571428571429,0.0013997200559888023,1,0.0070722697565750005,1
40,0.3,runtime_ms,dijkstra,30,0.27729333232855424,1.9870399997065153,-1.709746667377961,86.04490436178888,0.0001999600079984003,1,0.001919616076784643,1
40,0.3,path_length,dijkstra,30,23.54097411622681,24.986907148747875,-1.445933032521065,5.786762739035201,0.6524695060987803,0,0.72901281812603,0
40,0.3,turn_count,dijkstra,30,5.2,8.4,-3.2,38.095238095238095,0.015796840631873626,1,0.056166544468884,0
40,0.7,runtime_ms,astar,30,0.05493999924510714,0.03188333163658774,0.023056667608519398,-72.31574125102001,0.05038992201559688,0,0.15116976604679064,0
40,0.7,path_length,astar,30,6.251141851360094,7.334959107842635,-1.0838172564825408,14.776050425744147,0.4813037392521496,0,0.72901281812603,0
40,0.7,turn_count,astar,30,1.8666666666666667,3.066666666666667,-1.2000000000000002,39.130434782608695,0.1235752849430114,0,0.3041853167827973,0
40,0.7,runtime_ms,weighted_astar,30,0.05493999924510714,0.030539998260792296,0.024400000984314843,-79.89522715736342,0.038592281543691265,1,0.12349530093981205,0
40,0.7,path_length,weighted_astar,30,6.251141851360094,7.334959107842635,-1.0838172564825408,14.776050425744147,0.4699060187962408,0,0.72901281812603,0
40,0.7,turn_count,weighted_astar,30,1.8666666666666667,3.1666666666666665,-1.2999999999999998,41.05263157894736,0.09878024395120975,0,0.2714123841898287,0
