algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id,seed_tag
jps_like,1,1.4142135623730951,0,0.0097000011010095,2,20,0.7,3,3,42
improved_astar,1,1.4142135623730951,0,0.0092999980552122,2,20,0.7,3,3,42
dijkstra,1,4.82842712474619,2,0.0247999996645376,8,20,0.7,4,4,42
astar,1,4.82842712474619,2,0.0169999984791502,5,20,0.7,4,4,42
weighted_astar,1,4.82842712474619,2,0.0153000000864267,5,20,0.7,4,4,42
jps_like,1,4.82842712474619,2,0.0168999977177009,4,20,0.7,4,4,42
improved_astar,1,4.0,1,0.0233000027947127,5,20,0.7,4,4,42
dijkstra,1,2.414213562373095,1,0.0233000027947127,7,20,0.7,5,5,42
astar,1,2.414213562373095,1,0.0109999964479357,3,20,0.7,5,5,42
weighted_astar,1,2.414213562373095,1,0.0099999888334423,3,20,0.7,5,5,42
jps_like,1,2.414213562373095,1,0.015400000847876,3,20,0.7,5,5,42
improved_astar,1,2.23606797749979,0,0.0142999924719333,3,20,0.7,5,5,42
dijkstra,1,6.82842712474619,2,0.0895000121090561,19,20,0.7,6,6,42
astar,1,6.82842712474619,2,0.0273000041488558,7,20,0.7,6,6,42
weighted_astar,1,6.82842712474619,2,0.0222000089706853,7,20,0.7,6,6,42
jps_like,1,6.82842712474619,3,0.0398999982280656,7,20,0.7,6,6,42
improved_astar,1,6.47213595499958,2,0.048300003982149,9,20,0.7,6,6,42
dijkstra,1,1.4142135623730951,0,0.0229999859584495,5,20,0.7,7,7,42
astar,1,1.4142135623730951,0,0.0093999988166615,2,20,0.7,7,7,42
weighted_astar,1,1.4142135623730951,0,0.0065000058384612,2,20,0.7,7,7,42
jps_like,1,1.4142135623730951,0,0.0091999972937628,2,20,0.7,7,7,42
improved_astar,1,1.4142135623730951,0,0.0087000080384314,2,20,0.7,7,7,42
dijkstra,1,6.82842712474619,3,0.0593000004300847,19,20,0.7,8,8,42
astar,1,6.82842712474619,3,0.0314000062644481,8,20,0.7,8,8,42
weighted_astar,1,6.82842712474619,3,0.0285999994957819,8,20,0.7,8,8,42
jps_like,1,6.82842712474619,3,0.0465000048279762,8,20,0.7,8,8,42
improved_astar,1,6.82842712474619,3,0.0609999988228082,11,20,0.7,8,8,42
dijkstra,1,5.242640687119286,3,0.0296999933198094,9,20,0.7,9,9,42
astar,1,5.242640687119286,3,0.0192000006791204,6,20,0.7,9,9,42
weighted_astar,1,5.242640687119286,3,0.0166999961948022,5,20,0.7,9,9,42
jps_like,1,5.242640687119286,3,0.0299999956041574,6,20,0.7,9,9,42
improved_astar,1,4.414213562373095,2,0.0300999963656067,6,20,0.7,9,9,42
dijkstra,1,4.82842712474619,2,0.0142999924719333,5,20,0.7,10,10,42
astar,1,4.82842712474619,2,0.0131000124383717,5,20,0.7,10,10,42
weighted_astar,1,4.82842712474619,2,0.0119000033009797,5,20,0.7,10,10,42
jps_like,1,4.82842712474619,2,0.0170999992405995,5,20,0.7,10,10,42
improved_astar,1,4.82842712474619,2,0.0183000083779916,5,20,0.7,10,10,42
dijkstra,1,6.242640687119285,2,0.044900007196702,16,20,0.7,11,11,42
astar,1,6.242640687119285,3,0.0261999957729131,8,20,0.7,11,11,42
weighted_astar,1,6.242640687119285,4,0.0218000059248879,7,20,0.7,11,11,42
jps_like,1,6.242640687119285,3,0.0414999958593398,8,20,0.7,11,11,42
improved_astar,1,5.16227766016838,1,0.0445000041509047,9,20,0.7,11,11,42
dijkstra,1,4.242640687119286,2,0.0149999978020787,4,20,0.7,12,12,42
astar,1,4.242640687119286,2,0.0115000002551823,4,20,0.7,12,12,42
